Auction,Age,Make,Color,WheelType,Odo,Size,MMRAauction,MMRAretail,BadBuy
ADESA,4,CHEVROLET,WHITE,Covers,76609,MEDIUM,4906,5798,YES
OTHER,4,CHRYSLER,BLUE,NULL,80951,VAN,5548,6492,YES
OTHER,2,CHRYSLER,SILVER,Covers,52067,MEDIUM,6511,10754,NO
ADESA,5,SCION,SILVER,NULL,54401,SPORTS,7042,9961,YES
MANHEIM,2,HYUNDAI,GREEN,Covers,89173,MEDIUM,8373,11806,YES
OTHER,2,DODGE,BLACK,Covers,46106,MEDIUM,7899,11060,NO
MANHEIM,7,CHEVROLET,WHITE,Alloy,86990,'MEDIUM SUV',4150,4982,YES
MANHEIM,7,FORD,BLACK,Alloy,85182,'LARGE TRUCK',3963,7641,YES
MANHEIM,6,FORD,RED,Covers,54327,COMPACT,2621,3331,NO
MANHEIM,3,CHEVROLET,GREY,Covers,86628,MEDIUM,7117,10955,NO
MANHEIM,3,CHRYSLER,SILVER,Covers,87287,MEDIUM,4582,5449,NO
MANHEIM,2,CHRYSLER,BLACK,Covers,59029,MEDIUM,6275,7277,NO
ADESA,7,DODGE,WHITE,NULL,83048,'MEDIUM SUV',3687,7101,YES
ADESA,3,FORD,SILVER,Covers,64977,MEDIUM,4791,8750,NO
OTHER,2,CHRYSLER,RED,Covers,61000,MEDIUM,6926,10315,NO
ADESA,8,FORD,WHITE,Covers,88412,'LARGE TRUCK',0,0,NO
MANHEIM,4,DODGE,BLUE,Alloy,61844,'MEDIUM SUV',9647,10919,YES
MANHEIM,4,CHEVROLET,WHITE,Alloy,85355,'MEDIUM SUV',8266,12318,NO
MANHEIM,8,CHRYSLER,GREY,Alloy,81827,MEDIUM,2388,3079,NO
ADESA,4,HONDA,SILVER,Alloy,74312,MEDIUM,11260,15249,NO
MANHEIM,3,PONTIAC,WHITE,Alloy,74937,LARGE,6897,7949,NO
MANHEIM,7,CHRYSLER,GREEN,Covers,79868,VAN,3158,6436,YES
OTHER,3,TOYOTA,SILVER,Covers,73782,MEDIUM,10441,14357,YES
ADESA,5,DODGE,BLACK,Covers,92091,'MEDIUM SUV',7440,11697,NO
MANHEIM,4,FORD,BLUE,Alloy,92730,MEDIUM,4426,5280,YES
OTHER,6,FORD,SILVER,Alloy,93586,MEDIUM,2666,3379,NO
OTHER,5,DODGE,GREY,Covers,84381,COMPACT,2809,3534,YES
OTHER,7,MAZDA,SILVER,Alloy,79923,MEDIUM,4774,7805,YES
ADESA,5,CHRYSLER,BLACK,Alloy,61453,MEDIUM,4700,5576,NO
ADESA,5,CHEVROLET,SILVER,Covers,93707,MEDIUM,3496,4276,YES
ADESA,3,SATURN,RED,Covers,71937,MEDIUM,5379,6309,YES
MANHEIM,7,FORD,GREY,Alloy,77717,VAN,2717,5698,YES
MANHEIM,4,DODGE,GREEN,Alloy,83290,MEDIUM,3963,4780,NO
OTHER,3,CHEVROLET,GOLD,NULL,70651,VAN,5885,9584,YES
ADESA,3,MITSUBISHI,GREY,Alloy,60885,MEDIUM,7838,11312,NO
MANHEIM,3,CHEVROLET,GREY,Covers,60635,LARGE,7620,11289,YES
MANHEIM,7,SATURN,RED,Covers,56203,'MEDIUM SUV',3670,6536,YES
MANHEIM,2,CHEVROLET,RED,Covers,78509,COMPACT,6800,7844,NO
ADESA,3,DODGE,BLACK,Covers,79284,MEDIUM,7418,10907,NO
MANHEIM,8,FORD,SILVER,Alloy,88560,'SMALL SUV',4150,8186,YES
OTHER,3,CHEVROLET,GREY,Covers,78057,LARGE,7665,8778,NO
MANHEIM,3,CHEVROLET,GOLD,Alloy,83709,LARGE,8677,11853,NO
MANHEIM,6,CHRYSLER,SILVER,Alloy,81445,MEDIUM,3504,6750,NO
MANHEIM,4,JEEP,BROWN,Alloy,80448,'SMALL SUV',10306,13872,YES
OTHER,5,FORD,SILVER,Alloy,69785,SPORTS,5451,6387,NO
MANHEIM,3,SUZUKI,BLACK,Covers,73174,MEDIUM,4395,7223,YES
ADESA,7,CHRYSLER,BLUE,Covers,88065,MEDIUM,2789,5674,YES
MANHEIM,7,DODGE,GREY,Alloy,70320,'LARGE TRUCK',4436,7936,NO
ADESA,4,FORD,WHITE,NULL,86848,COMPACT,4406,7466,YES
ADESA,5,FORD,GOLD,Covers,100911,MEDIUM,3333,6358,YES
MANHEIM,4,CHRYSLER,SILVER,Alloy,83599,MEDIUM,4430,8150,NO
ADESA,4,CHEVROLET,SILVER,Covers,85933,COMPACT,3147,3899,YES
MANHEIM,5,DODGE,GREY,Alloy,64154,'MEDIUM SUV',5619,6569,NO
OTHER,1,DODGE,BLUE,Covers,44915,MEDIUM,7367,8456,NO
OTHER,2,FORD,BLACK,Alloy,91240,CROSSOVER,9734,14425,NO
ADESA,3,CHRYSLER,SILVER,NULL,53967,CROSSOVER,10194,11510,YES
OTHER,6,CHEVROLET,GOLD,Alloy,53604,LARGE,3164,3917,YES
MANHEIM,4,CHEVROLET,BLACK,Covers,84455,COMPACT,5048,8763,YES
OTHER,5,PONTIAC,GOLD,Alloy,78252,LARGE,4272,5114,NO
MANHEIM,8,FORD,WHITE,Alloy,52946,MEDIUM,2027,2689,YES
MANHEIM,4,DODGE,SILVER,Alloy,80789,COMPACT,3766,4567,YES
ADESA,1,PONTIAC,SILVER,Covers,43372,MEDIUM,9072,10298,NO
OTHER,7,GMC,GREY,Alloy,84706,'LARGE TRUCK',6351,10222,NO
MANHEIM,3,CHEVROLET,WHITE,Covers,52528,LARGE,0,0,NO
MANHEIM,6,DODGE,GOLD,Alloy,88330,MEDIUM,2965,6294,YES
ADESA,4,MITSUBISHI,SILVER,Alloy,74520,'MEDIUM SUV',8456,12087,NO
OTHER,3,NISSAN,GOLD,Covers,89757,MEDIUM,9096,10324,YES
OTHER,1,CHEVROLET,BLACK,NULL,49756,MEDIUM,8563,12144,YES
OTHER,2,PONTIAC,WHITE,NULL,64444,LARGE,7788,8911,YES
MANHEIM,3,CHEVROLET,BLUE,Covers,45109,MEDIUM,7480,10841,NO
MANHEIM,5,FORD,SILVER,Alloy,75797,'MEDIUM SUV',5139,6050,NO
MANHEIM,5,PONTIAC,GOLD,Alloy,66003,MEDIUM,3810,4615,NO
MANHEIM,5,ACURA,BLUE,Alloy,85529,SPECIALTY,8007,9148,NO
MANHEIM,3,FORD,BLACK,Alloy,54698,SPORTS,9441,10696,YES
MANHEIM,3,PONTIAC,WHITE,Alloy,62329,VAN,7426,8520,NO
MANHEIM,5,CHEVROLET,WHITE,Covers,67209,LARGE,3972,7148,YES
MANHEIM,7,FORD,WHITE,Special,82579,'LARGE SUV',6395,10004,YES
MANHEIM,8,PONTIAC,'NOT AVAIL',Alloy,73430,SPORTS,4650,7935,YES
MANHEIM,2,PONTIAC,BLACK,Alloy,76748,LARGE,8293,12756,NO
MANHEIM,7,CHEVROLET,SILVER,Alloy,77128,'LARGE SUV',7481,11829,NO
MANHEIM,3,CHEVROLET,BLUE,NULL,73395,MEDIUM,7097,10168,NO
ADESA,6,MERCURY,SILVER,NULL,62654,MEDIUM,3163,3916,YES
MANHEIM,3,PONTIAC,BLUE,NULL,88521,LARGE,6390,7401,YES
MANHEIM,7,NISSAN,WHITE,Covers,93085,COMPACT,2943,3678,YES
MANHEIM,5,FORD,BLUE,Covers,75445,'MEDIUM SUV',6788,11408,YES
MANHEIM,3,DODGE,BLUE,Covers,54988,MEDIUM,5694,9327,NO
ADESA,7,HYUNDAI,SILVER,Alloy,77511,'MEDIUM SUV',2731,3449,YES
MANHEIM,3,CHEVROLET,SILVER,Alloy,80017,LARGE,8922,12461,NO
MANHEIM,6,SATURN,GREEN,NULL,84185,'MEDIUM SUV',3709,4506,YES
MANHEIM,4,CHEVROLET,GREY,Alloy,78611,'MEDIUM SUV',10769,15192,NO
OTHER,4,DODGE,BLUE,Alloy,87996,'MEDIUM SUV',7695,8811,NO
MANHEIM,4,CHEVROLET,RED,Alloy,52350,COMPACT,5696,6652,NO
OTHER,1,DODGE,BEIGE,NULL,53698,MEDIUM,6897,11172,YES
MANHEIM,7,DODGE,SILVER,NULL,67304,VAN,1824,2470,YES
MANHEIM,5,MERCURY,GOLD,Covers,104244,MEDIUM,3609,7089,YES
MANHEIM,3,DODGE,SILVER,Alloy,72196,'MEDIUM SUV',11393,12804,NO
MANHEIM,6,MERCURY,RED,NULL,72424,MEDIUM,3098,3846,YES
MANHEIM,5,CHEVROLET,WHITE,Covers,96024,'SMALL TRUCK',3863,4672,NO
MANHEIM,5,FORD,BLUE,Covers,68518,MEDIUM,4750,7929,YES
MANHEIM,2,CHEVROLET,SILVER,Covers,63433,LARGE,7832,11503,NO
ADESA,5,MITSUBISHI,MAROON,Alloy,70948,MEDIUM,0,0,NO
MANHEIM,9,MERCURY,WHITE,Covers,38750,MEDIUM,2454,5481,YES
ADESA,3,PONTIAC,WHITE,NULL,76682,MEDIUM,9110,12885,YES
MANHEIM,6,HONDA,BLACK,Special,82409,'SMALL SUV',8322,11183,NO
ADESA,4,CHEVROLET,GREY,Covers,42660,MEDIUM,4265,5106,NO
MANHEIM,1,CHEVROLET,BROWN,Covers,75684,LARGE,9281,10523,NO
MANHEIM,2,KIA,BLACK,Covers,51059,MEDIUM,4839,5726,NO
MANHEIM,4,PONTIAC,WHITE,Covers,73099,LARGE,5829,6795,YES
OTHER,5,FORD,GREY,Special,74970,'SMALL TRUCK',3883,4694,NO
OTHER,4,CHRYSLER,BLUE,Covers,89177,MEDIUM,4913,8588,YES
MANHEIM,5,FORD,SILVER,Alloy,79594,'SMALL SUV',6649,10669,NO
MANHEIM,5,SATURN,SILVER,Alloy,77459,'MEDIUM SUV',4911,8384,NO
MANHEIM,4,CHRYSLER,BLUE,Covers,81011,VAN,5033,5936,YES
OTHER,1,DODGE,WHITE,Covers,44973,MEDIUM,7776,8898,NO
ADESA,3,CHRYSLER,RED,NULL,79693,MEDIUM,5749,9378,YES
MANHEIM,7,OLDSMOBILE,WHITE,Covers,82596,MEDIUM,2427,4959,YES
MANHEIM,6,CHRYSLER,GREY,Alloy,56731,MEDIUM,4006,7734,YES
OTHER,8,PONTIAC,MAROON,Alloy,93309,LARGE,3074,5963,YES
OTHER,3,MITSUBISHI,SILVER,Covers,58131,MEDIUM,7058,11131,NO
ADESA,6,DODGE,SILVER,Alloy,67415,'MEDIUM SUV',8409,12709,NO
MANHEIM,5,PONTIAC,BLUE,NULL,85499,MEDIUM,3372,4142,YES
MANHEIM,6,MAZDA,GREY,Alloy,83074,MEDIUM,6065,9226,NO
MANHEIM,6,CHEVROLET,MAROON,Covers,81994,LARGE,3437,6683,NO
ADESA,2,NISSAN,BLACK,NULL,69447,MEDIUM,11928,13382,YES
MANHEIM,2,PONTIAC,GREY,Alloy,78695,LARGE,7938,9073,NO
ADESA,3,CHEVROLET,WHITE,Alloy,72840,VAN,6311,10394,YES
OTHER,6,FORD,MAROON,Alloy,62801,MEDIUM,3508,6937,YES
OTHER,4,CHEVROLET,GREY,NULL,86929,LARGE,5262,6183,YES
ADESA,8,DODGE,GREY,Alloy,78656,'LARGE TRUCK',7040,10864,NO
MANHEIM,3,DODGE,GREY,Covers,78203,SPECIALTY,9959,14002,NO
MANHEIM,7,DODGE,SILVER,Alloy,58124,VAN,2622,3332,YES
MANHEIM,6,CHEVROLET,GREY,Alloy,78823,'MEDIUM SUV',5644,6596,YES
MANHEIM,3,FORD,RED,Alloy,76551,MEDIUM,10693,13850,YES
MANHEIM,6,CHEVROLET,SILVER,Alloy,81985,VAN,3524,7936,NO
MANHEIM,4,NISSAN,SILVER,Alloy,80535,MEDIUM,6579,7605,NO
MANHEIM,4,FORD,SILVER,Covers,82445,MEDIUM,4807,8433,YES
OTHER,6,MAZDA,WHITE,NULL,81846,MEDIUM,4837,5724,YES
MANHEIM,5,FORD,GREY,Alloy,104202,VAN,4363,7991,YES
MANHEIM,8,SATURN,SILVER,Alloy,69782,MEDIUM,2809,5470,YES
ADESA,9,DODGE,GOLD,NULL,106885,'MEDIUM SUV',3623,7052,YES
MANHEIM,4,FORD,WHITE,Alloy,77002,'SMALL SUV',9748,13331,YES
ADESA,5,CHEVROLET,SILVER,NULL,74385,VAN,5590,9616,YES
OTHER,6,FORD,SILVER,Covers,85814,COMPACT,3153,6710,NO
MANHEIM,4,CHEVROLET,RED,Covers,77450,COMPACT,3063,3808,YES
MANHEIM,6,MAZDA,GOLD,Alloy,65644,COMPACT,2437,3132,YES
MANHEIM,4,DODGE,WHITE,Alloy,46369,COMPACT,4104,4932,NO
MANHEIM,6,CHRYSLER,SILVER,Special,67479,MEDIUM,2602,4942,YES
OTHER,6,MITSUBISHI,GREY,Alloy,72167,SPORTS,3876,7315,NO
MANHEIM,2,KIA,SILVER,Covers,55985,MEDIUM,6555,10035,NO
OTHER,4,CHEVROLET,WHITE,Covers,82011,MEDIUM,6172,9326,NO
MANHEIM,4,BUICK,BLACK,Covers,82823,LARGE,7713,11287,NO
ADESA,6,CHEVROLET,GREY,Alloy,84387,MEDIUM,4263,7882,NO
OTHER,2,DODGE,BLUE,Covers,82400,VAN,11182,14474,NO
OTHER,5,FORD,SILVER,Alloy,57465,MEDIUM,2772,3494,NO
MANHEIM,4,HYUNDAI,GREY,Alloy,69355,MEDIUM,6982,10225,YES
OTHER,2,CHRYSLER,RED,Alloy,45506,MEDIUM,5311,6236,NO
OTHER,2,KIA,GOLD,Covers,48999,MEDIUM,7761,11179,YES
MANHEIM,3,CHEVROLET,SILVER,Covers,75708,LARGE,7109,10418,NO
MANHEIM,2,CHEVROLET,BLUE,Covers,75878,LARGE,7307,8392,NO
MANHEIM,5,PONTIAC,GOLD,Alloy,81680,LARGE,4959,7644,YES
MANHEIM,2,FORD,BLUE,Alloy,73732,MEDIUM,10034,14635,NO
MANHEIM,4,FORD,GREY,NULL,72725,MEDIUM,3688,4483,YES
OTHER,1,DODGE,GREY,Covers,50536,MEDIUM,7874,9004,NO
OTHER,5,CHEVROLET,GOLD,NULL,110318,MEDIUM,5121,8160,YES
ADESA,6,CHEVROLET,SILVER,Alloy,92975,VAN,2969,5960,YES
MANHEIM,2,CHRYSLER,BLACK,Covers,72053,MEDIUM,7980,11889,NO
OTHER,4,CHRYSLER,BLACK,Covers,72678,MEDIUM,4262,7666,YES
MANHEIM,5,FORD,RED,Alloy,66446,'LARGE SUV',8518,12577,NO
MANHEIM,4,CHEVROLET,BEIGE,Alloy,88273,LARGE,4504,5364,YES
MANHEIM,6,CHEVROLET,GREY,Alloy,76330,'MEDIUM SUV',6185,10045,YES
MANHEIM,7,TOYOTA,GREEN,Covers,84027,'MEDIUM SUV',6850,7898,NO
MANHEIM,8,DODGE,BLACK,Alloy,78282,'LARGE TRUCK',5736,8999,NO
MANHEIM,4,CHRYSLER,BLUE,Covers,83316,VAN,5418,9483,NO
MANHEIM,5,FORD,GREY,Covers,71439,MEDIUM,3617,6814,YES
ADESA,5,CHRYSLER,BLUE,Alloy,77760,CROSSOVER,7994,11405,NO
MANHEIM,7,CHRYSLER,BLUE,Alloy,45247,MEDIUM,3892,4703,NO
OTHER,3,CHEVROLET,WHITE,Covers,88722,VAN,7136,11489,NO
OTHER,2,SUZUKI,GOLD,Covers,36440,MEDIUM,6292,9550,NO
MANHEIM,5,CHEVROLET,BLACK,Alloy,85347,COMPACT,4313,7075,YES
MANHEIM,3,DODGE,BLUE,Covers,71579,MEDIUM,6612,10085,YES
MANHEIM,4,DODGE,GREEN,Covers,73562,SPECIALTY,7211,11452,NO
ADESA,6,HYUNDAI,WHITE,Covers,58011,COMPACT,1696,4883,YES
ADESA,6,CHEVROLET,SILVER,Alloy,25804,'MEDIUM SUV',5201,6117,NO
MANHEIM,4,CHRYSLER,GOLD,Covers,56595,MEDIUM,5166,8417,YES
MANHEIM,5,FORD,SILVER,Alloy,79688,MEDIUM,3152,6160,NO
MANHEIM,2,SUZUKI,SILVER,Covers,40773,MEDIUM,5859,6828,YES
MANHEIM,5,CHEVROLET,GREY,Alloy,91383,'MEDIUM SUV',7803,11425,NO
OTHER,6,FORD,WHITE,Alloy,72196,'LARGE TRUCK',3738,7687,NO
MANHEIM,5,DODGE,RED,Alloy,84350,'LARGE TRUCK',8270,9432,NO
MANHEIM,3,KIA,GREY,Covers,68747,MEDIUM,4598,7558,YES
ADESA,3,DODGE,GOLD,Alloy,52014,MEDIUM,4484,5343,NO
OTHER,6,CHEVROLET,GOLD,Covers,89124,LARGE,3220,3978,YES
MANHEIM,3,MITSUBISHI,GREY,NULL,43751,MEDIUM,7344,11034,YES
OTHER,7,FORD,WHITE,Alloy,89195,COMPACT,2395,5276,NO
MANHEIM,5,FORD,BROWN,Alloy,60963,SPORTS,7496,11066,NO
MANHEIM,4,DODGE,BLUE,Alloy,64432,MEDIUM,3261,4022,YES
OTHER,5,CHEVROLET,SILVER,NULL,88575,MEDIUM,5164,10198,YES
ADESA,2,CHRYSLER,WHITE,Covers,78183,CROSSOVER,8894,13150,NO
ADESA,7,FORD,GREY,Alloy,107420,COMPACT,3828,6942,YES
ADESA,6,CHEVROLET,WHITE,Covers,92306,COMPACT,2136,2807,NO
MANHEIM,5,HYUNDAI,SILVER,Alloy,80623,COMPACT,3074,6168,YES
ADESA,6,FORD,GREY,Alloy,73953,'MEDIUM SUV',5870,9644,NO
OTHER,4,CHEVROLET,MAROON,Alloy,33330,LARGE,5427,6361,NO
ADESA,7,FORD,RED,NULL,82312,COMPACT,3767,6431,YES
ADESA,3,DODGE,BLACK,Covers,88146,MEDIUM,6657,10401,NO
OTHER,2,CHRYSLER,BLUE,NULL,51153,MEDIUM,6412,9783,YES
ADESA,5,JEEP,BLACK,Alloy,81797,'MEDIUM SUV',8573,12563,NO
MANHEIM,3,DODGE,GREY,Covers,46905,SPECIALTY,9915,13620,YES
MANHEIM,6,DODGE,BLACK,Alloy,52160,'MEDIUM SUV',6639,10929,NO
MANHEIM,6,KIA,GREEN,Alloy,58565,'MEDIUM SUV',5939,9745,YES
OTHER,5,JEEP,WHITE,Alloy,72557,'SMALL SUV',7513,8614,NO
ADESA,7,CHEVROLET,BLACK,NULL,71671,'MEDIUM SUV',5859,9720,YES
OTHER,5,CHEVROLET,GREEN,Alloy,84929,'MEDIUM SUV',7045,8109,NO
OTHER,1,CHRYSLER,WHITE,Covers,45185,MEDIUM,8208,9365,NO
MANHEIM,2,CHEVROLET,WHITE,Covers,82545,LARGE,7763,11892,NO
MANHEIM,4,KIA,GREY,Covers,77353,VAN,7861,12251,YES
MANHEIM,7,SUZUKI,RED,Alloy,89697,COMPACT,2998,3738,NO
MANHEIM,5,PONTIAC,BLACK,Covers,57037,LARGE,4961,7955,NO
OTHER,5,FORD,OTHER,Covers,63321,MEDIUM,4519,5381,NO
ADESA,8,DODGE,SILVER,NULL,86642,VAN,2613,4990,YES
MANHEIM,7,DODGE,SILVER,Alloy,90819,MEDIUM,1726,2364,YES
MANHEIM,2,CHRYSLER,BLUE,Covers,71351,SPECIALTY,10010,14455,YES
MANHEIM,4,SUZUKI,GREEN,Covers,46626,MEDIUM,3836,6921,NO
MANHEIM,9,CHRYSLER,MAROON,Alloy,89515,MEDIUM,2246,4733,YES
OTHER,6,FORD,RED,Alloy,68034,VAN,4202,7824,YES
OTHER,3,MERCURY,WHITE,Alloy,90050,'SMALL SUV',13774,15376,NO
MANHEIM,4,CHEVROLET,SILVER,Alloy,60148,'MEDIUM SUV',6730,7768,NO
ADESA,3,FORD,GREY,Alloy,70398,LARGE,8234,9393,YES
MANHEIM,4,MITSUBISHI,WHITE,Covers,69398,MEDIUM,6229,7227,NO
MANHEIM,3,FORD,SILVER,Covers,66241,MEDIUM,7194,10961,YES
MANHEIM,4,JEEP,BLACK,Alloy,79458,'MEDIUM SUV',10736,14880,YES
OTHER,2,PONTIAC,WHITE,Alloy,65742,MEDIUM,7254,11360,YES
MANHEIM,4,CHEVROLET,MAROON,Alloy,55140,MEDIUM,6911,11383,YES
OTHER,7,CHEVROLET,BLUE,NULL,89588,'MEDIUM SUV',5023,5925,YES
OTHER,4,CHEVROLET,GOLD,Covers,85365,LARGE,5721,6679,YES
OTHER,8,CHEVROLET,WHITE,NULL,83185,LARGE,2661,5408,YES
MANHEIM,9,BUICK,GOLD,Covers,102736,MEDIUM,2796,5556,YES
OTHER,5,DODGE,WHITE,Alloy,69201,MEDIUM,3953,6775,YES
ADESA,4,PONTIAC,WHITE,Alloy,92902,LARGE,6236,9869,YES
MANHEIM,4,CHEVROLET,WHITE,Covers,84084,LARGE,4530,5392,YES
MANHEIM,5,DODGE,MAROON,Covers,89218,'MEDIUM SUV',8304,11868,NO
OTHER,2,TOYOTA,GOLD,Covers,85332,MEDIUM,13716,15313,YES
MANHEIM,3,CHEVROLET,SILVER,Covers,79414,VAN,7487,10815,NO
OTHER,4,CHEVROLET,SILVER,Covers,40823,LARGE,4573,5439,NO
MANHEIM,4,HYUNDAI,SILVER,Alloy,73840,'MEDIUM SUV',7210,8287,NO
OTHER,2,CHEVROLET,BLACK,Covers,80599,LARGE,8363,12930,NO
ADESA,5,CHRYSLER,GREEN,Covers,76784,VAN,4811,7661,NO
MANHEIM,5,MAZDA,GREY,Alloy,67051,MEDIUM,6505,7525,YES
OTHER,3,CHEVROLET,BLUE,Covers,55270,MEDIUM,7410,10754,NO
ADESA,3,HYUNDAI,SILVER,Alloy,65107,MEDIUM,6680,7714,NO
ADESA,5,DODGE,BLUE,Alloy,72703,COMPACT,3035,5752,NO
OTHER,7,DODGE,BLUE,Covers,61886,VAN,3909,7340,NO
MANHEIM,6,DODGE,GREY,Covers,85041,'MEDIUM SUV',4203,5039,NO
MANHEIM,5,FORD,GOLD,Alloy,94506,MEDIUM,3435,6685,YES
OTHER,4,KIA,BLUE,Covers,66051,COMPACT,2419,3113,NO
ADESA,3,MAZDA,GREY,Covers,74897,CROSSOVER,9200,10436,YES
ADESA,5,DODGE,BLACK,Covers,81222,'MEDIUM SUV',8002,9142,NO
MANHEIM,4,HYUNDAI,GREY,Covers,47337,COMPACT,3839,4646,NO
MANHEIM,3,CHEVROLET,WHITE,Covers,84342,MEDIUM,7638,11358,YES
MANHEIM,3,CHEVROLET,GOLD,Alloy,69800,'MEDIUM SUV',9844,11132,YES
OTHER,4,FORD,WHITE,Covers,88747,COMPACT,4164,4997,NO
MANHEIM,5,CHEVROLET,SILVER,Alloy,81117,LARGE,5646,6598,YES
ADESA,8,CHEVROLET,GOLD,Covers,76675,MEDIUM,1941,4722,YES
MANHEIM,7,INFINITI,RED,NULL,86285,SPECIALTY,8074,10942,YES
MANHEIM,2,SUZUKI,RED,Covers,59801,MEDIUM,4972,5870,YES
ADESA,8,CHRYSLER,GREEN,NULL,87987,MEDIUM,2920,5754,YES
ADESA,4,CHEVROLET,RED,NULL,73328,COMPACT,4556,7705,YES
MANHEIM,8,CHRYSLER,GOLD,Alloy,79883,MEDIUM,3117,5858,YES
OTHER,7,DODGE,BLUE,Covers,72355,VAN,3653,6498,NO
ADESA,4,DODGE,BLUE,Covers,49165,MEDIUM,3984,4803,NO
OTHER,1,CHEVROLET,BLUE,Covers,74265,LARGE,9062,10287,NO
MANHEIM,4,NISSAN,SILVER,Alloy,70389,MEDIUM,9871,13204,NO
MANHEIM,3,FORD,GOLD,Alloy,85012,MEDIUM,7715,12010,YES
MANHEIM,4,DODGE,GREEN,Covers,55759,MEDIUM,5569,6515,NO
ADESA,5,CHEVROLET,SILVER,NULL,74675,MEDIUM,4861,8289,YES
MANHEIM,3,CHRYSLER,BLACK,Covers,37545,MEDIUM,5176,6090,YES
OTHER,2,DODGE,WHITE,Covers,49209,MEDIUM,7603,11070,NO
ADESA,9,CHRYSLER,BLACK,Special,83092,MEDIUM,2635,5063,YES
OTHER,5,CHRYSLER,PURPLE,Covers,69916,MEDIUM,3508,6963,NO
MANHEIM,8,DODGE,GREY,Alloy,29851,'MEDIUM SUV',3267,4028,NO
OTHER,3,CHEVROLET,SILVER,Covers,78585,COMPACT,4810,5695,NO
MANHEIM,6,CHEVROLET,GREY,Alloy,80241,'MEDIUM SUV',5584,9438,NO
MANHEIM,4,CHRYSLER,GREEN,Covers,84811,VAN,5454,8523,NO
MANHEIM,7,SATURN,MAROON,NULL,67410,COMPACT,2609,3318,YES
OTHER,4,CHEVROLET,BLACK,Covers,78442,COMPACT,5046,5950,NO
MANHEIM,3,MITSUBISHI,BLACK,Covers,52577,COMPACT,6105,7093,NO
MANHEIM,3,CHEVROLET,WHITE,Covers,70221,LARGE,7809,11648,NO
MANHEIM,8,FORD,GREEN,Covers,107383,'SMALL TRUCK',2280,4086,YES
OTHER,4,FORD,SILVER,Alloy,71541,MEDIUM,4818,7808,YES
MANHEIM,4,NISSAN,GREY,Alloy,89274,LARGE,10889,14913,YES
MANHEIM,3,FORD,BLACK,Alloy,81667,CROSSOVER,8842,10049,NO
MANHEIM,2,CHEVROLET,BEIGE,Covers,84950,LARGE,7346,8434,NO
MANHEIM,6,PONTIAC,RED,Alloy,76315,VAN,3994,7590,NO
ADESA,6,CHEVROLET,RED,Alloy,96315,VAN,3067,3812,YES
MANHEIM,4,KIA,SILVER,Alloy,69485,MEDIUM,3956,6106,YES
OTHER,4,PONTIAC,SILVER,Alloy,77857,LARGE,6312,7317,NO
MANHEIM,6,SATURN,SILVER,Alloy,50261,'MEDIUM SUV',3922,7317,NO
ADESA,4,FORD,GREEN,Covers,83229,'LARGE TRUCK',9047,14550,NO
MANHEIM,5,GMC,BLUE,Alloy,80063,'MEDIUM SUV',9161,13531,NO
ADESA,3,DODGE,GREY,Covers,65220,MEDIUM,7592,11458,NO
ADESA,6,FORD,GREY,NULL,66235,'LARGE SUV',7237,8316,NO
OTHER,3,SUZUKI,SILVER,Covers,44534,MEDIUM,3716,4513,YES
MANHEIM,4,FORD,WHITE,Alloy,74566,MEDIUM,3688,4483,NO
MANHEIM,6,CHEVROLET,SILVER,NULL,54204,COMPACT,2731,5285,YES
ADESA,3,CHRYSLER,RED,Covers,51855,MEDIUM,5259,6180,YES
ADESA,9,CHEVROLET,SILVER,NULL,106421,COMPACT,1575,3292,YES
ADESA,5,FORD,GOLD,Alloy,90751,COMPACT,0,0,NO
OTHER,5,DODGE,BLUE,Covers,89891,VAN,4850,8698,YES
MANHEIM,4,CHEVROLET,RED,Special,77718,MEDIUM,6284,9544,NO
MANHEIM,4,CHEVROLET,BLACK,Covers,76699,MEDIUM,5567,6512,NO
MANHEIM,6,FORD,WHITE,Alloy,74722,'MEDIUM SUV',5225,6143,YES
OTHER,2,PONTIAC,RED,Alloy,39262,MEDIUM,7780,11833,NO
MANHEIM,4,DODGE,GREY,Alloy,80490,VAN,5799,6763,NO
MANHEIM,4,SUZUKI,SILVER,Special,58605,MEDIUM,3233,6457,YES
MANHEIM,3,DODGE,GREY,Covers,61502,SPECIALTY,8996,13406,NO
ADESA,4,PONTIAC,WHITE,Covers,41167,MEDIUM,3780,4582,YES
ADESA,2,SUZUKI,BLACK,NULL,77311,MEDIUM,6318,9523,YES
MANHEIM,5,FORD,SILVER,Alloy,80872,COMPACT,3940,7146,NO
OTHER,4,DODGE,RED,Alloy,79718,'LARGE TRUCK',9310,10555,NO
MANHEIM,4,SUZUKI,MAROON,Covers,34420,MEDIUM,3801,7112,NO
OTHER,2,SCION,GREY,Covers,44168,COMPACT,9297,12818,NO
MANHEIM,4,FORD,RED,Alloy,58564,LARGE,5388,6319,NO
MANHEIM,1,DODGE,BLACK,Alloy,77896,'MEDIUM SUV',15139,16850,NO
ADESA,5,NISSAN,BLUE,Alloy,80982,LARGE,7724,8842,YES
OTHER,2,FORD,GREY,Alloy,77308,MEDIUM,10065,14225,NO
MANHEIM,4,CHEVROLET,WHITE,Covers,59166,MEDIUM,7151,10342,NO
